"Entry","Expt","MacroEnv","Rep","T_mean","P_mean","DTF","DTS","DTM","RDTF"
33,"Ro16","Macroenvironment 1",1,17.2,16.2,45,62,96,0.0222222222222222
33,"Ro16","Macroenvironment 1",2,17.2,16.2,44,64,96,0.0227272727272727
33,"Ro16","Macroenvironment 1",3,17.2,16.2,44,61,92,0.0227272727272727
33,"Ro17","Macroenvironment 1",1,17.5,16.4,38,60,82,0.0263157894736842
33,"Ro17","Macroenvironment 1",2,17.5,16.4,39,57,80,0.0256410256410256
33,"Ro17","Macroenvironment 1",3,17.5,16.4,39,57,77,0.0256410256410256
33,"Su16","Macroenvironment 1",1,16.7,15.9,44,65,95,0.0227272727272727
33,"Su16","Macroenvironment 1",2,16.7,15.9,45,62,94,0.0222222222222222
33,"Su16","Macroenvironment 1",3,16.7,15.9,45,63,95,0.0222222222222222
33,"Su17","Macroenvironment 1",1,15.7,16.1,44,64,83,0.0227272727272727
33,"Su17","Macroenvironment 1",2,15.7,16.1,45,65,79,0.0222222222222222
33,"Su17","Macroenvironment 1",3,15.7,16.1,46,67,81,0.0217391304347826
33,"Su18","Macroenvironment 1",1,17.6,16.1,42,64,91,0.0238095238095238
33,"Su18","Macroenvironment 1",2,17.6,16.1,43,62,87,0.0232558139534884
33,"Su18","Macroenvironment 1",3,17.6,16.1,42,64,93,0.0238095238095238
33,"Us18","Macroenvironment 1",1,15.8,14.3,51,69,92,0.0196078431372549
33,"Us18","Macroenvironment 1",2,15.8,14.3,NA,NA,96,NA
33,"Us18","Macroenvironment 1",3,15.8,14.3,52,70,92,0.0192307692307692
33,"In16","Macroenvironment 2",3,17.6,10.9,43,95,105,0.0232558139534884
33,"In16","Macroenvironment 2",1,17.6,10.9,43,NA,NA,0.0232558139534884
33,"In16","Macroenvironment 2",2,17.6,10.9,55,NA,NA,0.0181818181818182
33,"In17","Macroenvironment 2",1,20.6,10.7,55,97,101,0.0181818181818182
33,"In17","Macroenvironment 2",2,20.6,10.7,52,NA,NA,0.0192307692307692
33,"In17","Macroenvironment 2",3,20.6,10.7,52,91,98,0.0192307692307692
33,"Ba16","Macroenvironment 2",1,18.6,10.8,59,81,100,0.0169491525423729
33,"Ba16","Macroenvironment 2",2,18.6,10.8,60,82,101,0.0166666666666667
33,"Ba16","Macroenvironment 2",3,18.6,10.8,60,82,102,0.0166666666666667
33,"Ba17","Macroenvironment 2",1,21.7,11,57,73,101,0.0175438596491228
33,"Ba17","Macroenvironment 2",2,21.7,11,56,71,93,0.0178571428571429
33,"Ba17","Macroenvironment 2",3,21.7,11,56,70,90,0.0178571428571429
33,"Ne16","Macroenvironment 2",1,19.2,11,81,NA,NA,0.0123456790123457
33,"Ne16","Macroenvironment 2",2,19.2,11,77,111,124,0.012987012987013
33,"Ne16","Macroenvironment 2",3,19.2,11,82,106,121,0.0121951219512195
33,"Ne17","Macroenvironment 2",1,19.4,10.8,82,114,135,0.0121951219512195
33,"Ne17","Macroenvironment 2",2,19.4,10.8,65,115,134,0.0153846153846154
33,"Ne17","Macroenvironment 2",3,19.4,10.8,83,114,136,0.0120481927710843
33,"Sp16","Macroenvironment 3",1,12.5,10.9,97,118,134,0.0103092783505155
33,"Sp16","Macroenvironment 3",2,12.5,10.9,97,114,134,0.0103092783505155
33,"Sp16","Macroenvironment 3",3,12.5,10.9,97,109,134,0.0103092783505155
33,"Sp17","Macroenvironment 3",1,11.7,11.1,97,113,128,0.0103092783505155
33,"Sp17","Macroenvironment 3",2,11.7,11.1,104,113,126,0.00961538461538462
33,"Sp17","Macroenvironment 3",3,11.7,11.1,97,104,126,0.0103092783505155
33,"Mo16","Macroenvironment 3",1,12,10.8,80,121,142,0.0125
33,"Mo16","Macroenvironment 3",2,12,10.8,80,121,142,0.0125
33,"Mo16","Macroenvironment 3",3,12,10.8,NA,121,142,NA
33,"Mo17","Macroenvironment 3",1,11.8,11.5,86,104,NA,0.0116279069767442
33,"Mo17","Macroenvironment 3",2,11.8,11.5,86,108,140,0.0116279069767442
33,"Mo17","Macroenvironment 3",3,11.8,11.5,86,106,140,0.0116279069767442
33,"It16","Macroenvironment 3",1,10.6,10.8,114,130,164,0.0087719298245614
33,"It16","Macroenvironment 3",2,10.6,10.8,114,133,175,0.0087719298245614
33,"It16","Macroenvironment 3",3,10.6,10.8,120,145,168,0.00833333333333333
33,"It17","Macroenvironment 3",1,11.2,10.8,121,146,164,0.00826446280991736
33,"It17","Macroenvironment 3",2,11.2,10.8,128,146,167,0.0078125
33,"It17","Macroenvironment 3",3,11.2,10.8,127,145,161,0.0078740157480315
