"","Year","Jan","Feb","Mar","April","May","June","July","Aug","Sept","Oct","Nov","Dec"
"1",1998,NA,NA,NA,NA,NA,3551,8067,35551,41976,23499,6804,4448
"2",1999,1081,1284,667,717,1811,3632,8758,39492,36914,27017,8863,4376
"3",2000,778,562,848,538,2097,6274,4740,22204,23293,27332,8399,4465
"4",2001,547,1060,1267,1081,2090,8405,6488,31838,39829,31039,15640,6200
"5",2002,1653,1569,1678,1683,3816,10845,18080,72412,93417,59258,39913,17092
"6",2003,6697,3100,3549,3643,6448,16752,30391,57004,97758,57495,35422,22980
"7",2004,3883,1932,2928,2956,6609,18024,30356,64067,121395,54292,45364,28640
"8",2005,7058,2898,2529,2743,5075,7854,30238,90729,102455,65023,31631,14333
"9",2006,4532,2388,2427,2269,4313,7601,17788,54630,76475,32043,29303,15415
"10",2007,4220,2761,3340,2550,5123,12716,19931,91085,141220,67228,31421,12320
"11",2008,2777,1751,1887,1906,2951,4594,14029,34431,50671,51784,30724,14428
"12",2009,3874,1396,2004,2290,3138,3795,7824,21782,36116,31215,29396,12274
"13",2010,3683,2909,2863,2681,4196,9895,21030,90444,109030,38842,24052,9761
"14",2011,1889,1128,1266,1617,2625,5627,9768,23881,55031,23340,18541,13389
"15",2012,2978,1731,2510,2507,3987,6830,14868,50926,63408,39860,18114,9519
"16",2013,2544,1716,2284,1891,2844,4665,8794,21410,36019,22159,11955,11868
"17",2014,3045,1374,1929,2024,2931,6212,10529,40845,42049,36572,17667,10723
"18",2015,4317,2026,1659,2024,2169,5569,8541,37883,61739,46741,26411,17703
"19",2016,5960,3238,3425,3408,3287,6185,19242,39088,42209,30809,19160,8207
"20",2017,2253,1239,1922,1703,2571,5384,17568,37380,72895,33607,19334,11655
"21",2018,2553,1476,2659,1656,3366,5790,12652,22774,42251,19568,13014,5113
"22",2019,4030,2865,5213,2842,2963,7258,13394,51936,53234,25613,20585,7700
"23",2020,2866,2657,3880,4117,4002,7109,15805,NA,NA,NA,NA,NA
